fills,effects,font,count
GRADIENT_LINEAR(#1D869C@0.67>#2371C6@0.7>#040AAD@0.75),LAYER_BLUR r5.0,,8
GRADIENT_RADIAL(#005267>#415967>#8700C7)~0.8,LAYER_BLUR r1.0,,8
GRADIENT_RADIAL(#5978DD>#312FAD@0.61>#1C1C86@0.0),LAYER_BLUR r0.0,,8
GRADIENT_RADIAL(#FFFFFF@0.38>#000000@0.0),LAYER_BLUR r3.0,,8
#B4AD98 | IMAGE:edc7c6d7db7937efdd4952f6296bfe02330d5ab4~0.3 | IMAGE:74938e2f7c792064075dae1dd6a4cb6be5122caf~0.3,"INNER_SHADOW r7.0 o0.0,-15.0 #000000@0.5",,8
#454C60 | IMAGE:edc7c6d7db7937efdd4952f6296bfe02330d5ab4~0.3 | IMAGE:74938e2f7c792064075dae1dd6a4cb6be5122caf~0.3,"INNER_SHADOW r7.0 o0.0,-15.0 #000000@0.5",,8
#454545 | IMAGE:edc7c6d7db7937efdd4952f6296bfe02330d5ab4~0.3 | IMAGE:74938e2f7c792064075dae1dd6a4cb6be5122caf~0.3,"INNER_SHADOW r7.0 o0.0,-15.0 #000000@0.5",,8
#056BF1,,Instrument Sans 600 32.0,7
#B0DEFF,,,7
#3745AF,,Inter 400 16.0,7
GRADIENT_LINEAR(#FFBE02@0.4>#FFE669@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,7
#D9D9D9~0.4,"BACKGROUND_BLUR r4.18 | INNER_SHADOW r2.41 o0.0,0.0 s0.93 #000000@0.05",,7
#D9D9D9~0.4,BACKGROUND_BLUR r29.25,,7
,BACKGROUND_BLUR r4.18 | LAYER_BLUR r1.07,,7
GRADIENT_LINEAR(#FFFFFF@0.8>#FFFFFF@0.8),,,7
,LAYER_BLUR r0.23,,7
#17A5FE,,Bai Jamjuree 600 32.0,6
#EE443F,,Inter 400 14.0,6
IMAGE:ec7d45753f7b499090babef1fdab7e94739d394a,,,6
IMAGE:b3a217d7d706b62d71cff378ff90dce2e5ce999c,,,6
IMAGE:e58cefd4009e756910f584f286938083abbd883b,,,6
IMAGE:4bf886ae84e3d0d388656ffe93c5658ec7902c21,,,6
IMAGE:bfde0ffca6e8c649fa0b3d33b2e4ad2564d87d49,,,6
IMAGE:66be30962619b893bad795fdee48f38817e2b87a,,,6
GRADIENT_LINEAR(#FFFFFF@0.6>#FFFFFF@0.3),"BACKGROUND_BLUR r15.16 | INNER_SHADOW r4.62 o1.2,1.1 #FFFFFF@0.126 | INNER_SHADOW r9.24 o2.1,2.0 #FFFFFF@0.126 | DROP_SHADOW r12.0 o-1.9,-1.7 #000000@0.15 | DROP_SHADOW r48.0 o-11.2,-10.4 #000000@0.15",,6
#FFFFFF,,Inter 700 200.0,6
IMAGE:cb239298d648802dfbc1e574a245898c801950a9,,,6
#9E9E9E,,Instrument Sans 600 32.0,6
#056BF1~0.49,,Instrument Sans 600 18.0,6
#85B6F8,,,6
#056BF1~0.47,,,6
IMAGE:edd611fdf9e086d81b8b1756b203815eff77db54,,,6
#F6F6F6,,,6
#FFFFFF,"DROP_SHADOW r15.5 o0.0,6.5 #5A72C8@0.1",,6
#131313,,Poppins 400 9.040299415588379,6
#131313,,Poppins 600 9.040299415588379,6
#FFFFFF,"DROP_SHADOW r24.0 o0.0,10.0 #5A72C8@0.1",,6
#131313,,Poppins 400 14.0,6
#131313,,Poppins 600 14.0,6
#698CFF,,Helvetica 700 24.0,6
#3766FF,,Helvetica 700 24.0,6
#ACF3FF,,,6
#5BE2FF,,,6
#2FC7ED,,,6
GRADIENT_LINEAR(#F6F6F6>#909090),,,6
GRADIENT_LINEAR(#FFFFFF>#737373),,,6
GRADIENT_LINEAR(#4D4D4D>#666666),,,6
GRADIENT_LINEAR(#00FFF9>#00FFF9),,,6
GRADIENT_LINEAR(#007FCC>#4ECCFE),,,6
GRADIENT_LINEAR(#DAA6FF@0.6>#F4E9FF@0.5),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,6
#00A565~0.9,,,6
#FE8209~0.9,,,6
#FFFFFF~0.1,GLASS,,6
#CECAC0 | IMAGE:74938e2f7c792064075dae1dd6a4cb6be5122caf~0.3 | IMAGE:edc7c6d7db7937efdd4952f6296bfe02330d5ab4~0.2,"INNER_SHADOW r4.0 o0.0,0.0 s6.0 #000000@0.3 | INNER_SHADOW r1.0 o0.0,0.0 s2.0 #000000@0.15",,6
#FFFFFF~0.4,,,5
IMAGE:659b8a4042206303f5639a52bcdeef0c71547a4e | GRADIENT_LINEAR(#000000@0.0>#00031E@0.95),,,5
#FFFFFF,"DROP_SHADOW r12.0 o0.0,0.0 #5ED5FE",Bai Jamjuree 600 48.0,5
,"DROP_SHADOW r0.0 o0.0,0.0 s3.0 #AEB6FB",,5
GRADIENT_LINEAR(#0D419A>#3296EE),,,5
GRADIENT_LINEAR(#D7EDFF>#F8F8F8),,,5
#535353,,,5
#FFAA00,,Manrope 600 16.0,5
IMAGE:a996931111256b2a1c9c7a4471967b735c86908c,,,5
#131927,,Bai Jamjuree 600 32.0,5
IMAGE:2759313ea300cb8bc714b0ed097cd1fe304ab68f,,,5
#3745AF,,Inter 400 10.0,5
#FFFFFF~0.6,,Inter 600 16.0,5
#FFFFFF,,Poppins 400 7.748828411102295,5
#FFFFFF,,Poppins 400 12.0,5
