id,name,description,component_set_id,key
34:940,more-vert,,,74ca299bb29d1a6a2fb505c00119e3657dd8c211
34:944,reduce-round-arrow,,,60cbc90625b07bfd3fb3bde66d346bfca5f82485
34:948,up-round-arrow,,,21f795e0c0289c65536c7ad0dcc0b00fc16f2a04
34:951,down-round-arrow,,,64b57e8146e1b2effda04bcc5fa34865086a9154
34:954,sidebar-expand,,,d96a907b68d6882cf4c6deb9bc444d40ddaeb2e0
34:958,sidebar-collapse,,,d84afd4db5d42f4aa0eb852d9c29e2efaf7826b0
34:962,compass,,,3363d3e5dc7cbaeca42c1826b4c4c16f6eb6593f
34:965,fast-arrow-down,,,ba87118a6e8e9af1be8b5743633ab3687a3361ab
34:968,fast-arrow-left,,,9d65785dd0b030534c68d1533939f421350574bd
34:971,fast-arrow-right,,,c42a398234c7a40e7f9de94c2b9f5a332c39ca29
34:975,fast-arrow-up,,,9ec95fe9fbffecded1462a2263e8a1dc0975f876
34:978,arrow-bl-circle,,,32d2a479efd644c7759260f7e8959a382e30ca55
34:981,arrow-br-square,,,083ac7eb63e21a9abc36349d751572df1b78b2f7
34:984,arrow-tl-circle,,,3125512ee2c2c77c890371f7446df3c805df2c3d
34:987,arrow-tr-square,,,728c80481927f9dbcea9889d7a89f960d4fa4a49
34:990,arrow-tl-square,,,98d9ac29c8d8b283250ed111f8be29d3113750ad
34:993,arrow-tr-circle,,,5f8d274867a879cb9021f3e874446e8ed06aeaec
34:996,drag,,,db0f44043097e797f4c8d02cf3bb1369bbd1548f
34:1001,arrow-br-circle,,,47cdbb8c1ad3baade051e6b982c94c006da9b719
34:1004,divide,,,0a7e6124378e8337ad74772c1b541fb985c1be2b
34:1009,horizontal-merge,,,fdaccf151f21414243a80ab7301bfbfa31240f9d
34:1014,horizontal-split,,,2edcb6928011beb0db12a55776be800bc549f0ae
34:1020,arrow-bl,,,6bcbf2a4201894c0b88fe8da2f39efd23e89b10e
34:1023,arrow-br,,,c8df3c477d7ebd0267cf15a1d9bd42d776d2731b
34:1026,page-down,,,148575f1ebf52dba1ac7d1f94caacd5b698d16d8
34:1029,page-left,,,46f06051bee2e239daa57be8d022cf04cc6e9038
34:1032,page-right,,,5b8df049b40f8961e7bb4b10a43324109d28dd2a
34:1035,page-up,,,e78d91ebd698ee91d180b075af34b8bb7eb4ca71
34:1038,divide-three,,,038272bb02a2e47ab31ec468b10d652b43970689
34:1045,arrow-bl-square,,,42131c52c78465adca586363f238ff2085fe0161
34:1048,path-arrow,,,f6e4808d12e2553c1cf9d4efd1162c4d1384311b
34:1052,vertical-merge,,,5a6548cf5b3ba7691cc6f7b683da41c18001a542
34:1057,vertical-split,,,19d93d881e7a0510783f5a03bc338de091d72b5d
34:1062,shortcut,,,ffd446c45cd66658135efca8cb97a03d6c7346a8
34:1066,arrow-tr,,,dc1cf74b2ca39abd99f2b3d10f2ece780ca7b40f
34:1069,arrow-tl,,,17afd3a51fcba6828e240d36c9983450446549ce
34:1072,filter-list,,,930b5d14ef64d3b570c2ba205ef33f736826fcc3
34:1076,filter-list-circle,,,4bb0c30e484fbe7cb8ff96099143882e8d214ab9
57:1724,label,,,bb27bfe5b2eef87e2411f67b993143781d954a20
57:1726,bookmark-empty,,,876e6b5ce2ac7adcdf8778e50490b79f1f3ea3ad
57:1728,bookmark-circle,,,9cc0daddb77018f89f14f393d928ba4fa874d9aa
57:1733,input-search,,,930dc97411c48ea732b1bf645d80f6ea38392e8e
57:1736,area-search,,,7e4e34a32d86c885fafe4ed4ba15687c658d1466
57:1745,star-dashed,,,df91fafed695475728453748e68643d4131a0b9f
57:1756,star-half-dashed,,,0d35cb08d284d20bbffc556e19a776c90678800d
57:1764,zoom-in,,,40d344588ee9bf7008531adc0a389388a36d9e39
57:1768,zoom-out,,,a542752277bc128f74a33a228fa9f3f7f456e858
57:1776,three-stars,,,16c9c74d73936c0384eac810f0f5d9de6e329cce
57:1780,filter-alt,,,6bd5c40f3406e18afb4329659a50f0d33957ca4c
57:1782,pin,,,656c33f5dc5679cf47ab89c55ea77b4e6b2f6d39
57:1786,remove-pin,,,2fd3f08db2966ec09a060e3dfe29ba0dedb3053a
57:1790,binocular,,,d6cd10d898aa55ea33d34904dc51f0c1de130d82
78:1207,download-square,,,039fa0b1c9cd077de72edb14384bdcff9b972c90
78:1211,add-square,,,a7a2b2da12bde2c20f9b8aad4aa22fe713a8efe5
78:1214,minus-square,,,55939b05cda4deb6168c5a26e42d442b7fa8efc2
78:1217,remove-square,,,1610cee00506a627d1b6ef6d6d3b84d9e6bac188
78:1220,redo-circle,,,595e08e53ed195738bef7d92b2a87126ede7dcc9
78:1224,undo-circle,,,e7a3e57e8a835ffcae0bc0c1875f5e67c94b0adb
78:1228,share-ios,,,2440de90dbfb8d2b58a7f324b3f5686854afabcd
78:1231,menu,,,c2efed0d0e55cc90800451a74d5ddf5be094d0c2
78:1235,redo,,,c3322263f6099b1cb639fd07b8423fbe8dd76840
78:1238,undo,,,f894ad935c15db89935e59a646a54b9457c678d3
78:1241,redo-action,,,9b9d12355d19062f1fe6d19ad926d2a67c2a2d26
78:1245,undo-action,,,9429f5b69689e1191eab556b60e4feb95709c07b
78:1250,menu-scale,,,83aae6707b30d811c0c80c6c515f21ff4713a221
78:1254,warning-triangle,,,b67180015da368ab5aa95002b084b8ea2d364d04
78:1258,warning-circle,,,d4b13fcfd6e387bef852a102c2b9647f6d841668
78:1262,double-check,,,1e230ac79ef0bd6b4e97d9dd9592430d2eb32798
78:1280,minus-circle,,,18878d9f64f08f640bc56b6c85cac11a47d86cd7
78:1283,info-empty,,,e8b4aa9570d2105c6879c207b876d6b01dc12b64
78:1287,minus,,,e1c3b84de366e9d7d2af59c7fb645978dd6b7c7c
78:1289,plus,,,63f21bfd43c3b1034a1ac42f6bf664d4f869331b
78:1291,add-circle,,,6de6fd531480e9edb59d4ba1046ebcd9cd0d31bf
78:1297,download-circle,,,798c2047eacbe09f79763380e1a073e6567fe930
78:1301,download,,,0a1de094dea2c349cb14b82ae66aefd08e9a1428
78:1305,share-android,,,ab8910a3bd89c93a1bf800f8664cee9536f8f846
78:1316,eye-empty,,,5b3cd51fc9a723f9fe21719bc4bb868b78e7df75
78:1321,refresh-double,,,06915204ca87a4fbef0f0410bef9f4a8918fa396
78:1326,refresh,,,7cd343b529759343d09dc57c0fbc76800ec70593
78:1329,upload,,,9b953efa9e7d20e89fc3ebb66f775ddb8c00dbc1
