page,node_id,path,characters,font_family,font_weight,font_size,color
🔵 UI_Phase 1,I2531:10175;2531:9831,Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 90/Liên hệ,Liên hệ,Bai Jamjuree,600,18.0,#FFFFFF
🔵 UI_Phase 1,I2531:10175;2531:9841,"Contact/Contact/Footer Desk/Frame 5/Frame 5/Frame 90/Frame 1410103937/Frame 34/96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội","96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội",Inter,400,14.0,#FFFFFF
🔵 UI_Phase 1,I2531:10175;2531:10058,Contact/Contact/Footer Desk/Frame 1527/© Wiinvent 2026,© Wiinvent 2026,Manrope,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2531:10175;2531:10059;2445:2487,Contact/Contact/Footer Desk/Frame 1527/Back Button/Symbol,,Font Awesome 5 Free,900,16.0,#FFFFFF
🔵 UI_Phase 1,2985:8001,Contact/Contact/Immediate Contact,Liên hệ ngay,Bai Jamjuree,600,32.0,#17A5FE
🔵 UI_Phase 1,I3139:10581;2448:6992,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Họ & tên,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:10581;2448:6993,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:10581;64:1344,Contact/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập họ & tên của bạn,Inter,400,16.0,#131927
🔵 UI_Phase 1,I3139:10581;64:1347,Contact/Contact/Form Fields Container/Input/Helper Text/Error Text,Vui lòng nhập họ tên,Inter,400,14.0,#EE443F
🔵 UI_Phase 1,I3139:10489;2448:6838,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Số điện thoại,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:10489;2448:6839,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:10489;64:1274,Contact/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,033 7723 45678,Inter,400,16.0,#131927
🔵 UI_Phase 1,I3139:10489;64:1277,Contact/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:10490;64:1260,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Email công ty,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:10490;2448:6770,Contact/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
