page,node_id,node_name,path,trigger,action,destination_id,navigation,transition_type,duration_ms,easing,direction,variable_id,variable_expr
🔵 UI_Phase 1,I2675:6010;2531:9827,Button of Nav Heading,Contact/Contact_Succes/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:6010;2531:9828,Button of Nav Heading,Contact/Contact_Succes/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:6010;2531:9828,Button of Nav Heading,Contact/Contact_Succes/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:6010;2531:9829,Button of Nav Heading,Contact/Contact_Succes/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6498,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:6010;2531:9829,Button of Nav Heading,Contact/Contact_Succes/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2531:6498,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2675:6010;2531:10059,Back Button,Contact/Contact_Succes/Footer Desk/Frame 1527/Back Button,(legacy),NAVIGATE,2445:2488,,,100.0,LINEAR,,,
🔵 UI_Phase 1,I2675:6010;2531:10059,Back Button,Contact/Contact_Succes/Footer Desk/Frame 1527/Back Button,ON_HOVER,NODE,2445:2488,CHANGE_TO,SMART_ANIMATE,100.0,LINEAR,,,
🔵 UI_Phase 1,I2675:6010;2531:10059,Back Button,Contact/Contact_Succes/Footer Desk/Frame 1527/Back Button,ON_CLICK,NODE,2675:5993,SCROLL_TO,SCROLL_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8080;2445:2787,Button of Nav Heading,Contact/Contact_Eror_Desk/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8080;2445:2787,Button of Nav Heading,Contact/Contact_Eror_Desk/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8080;2445:2794,Button of Nav Heading,Contact/Contact_Eror_Desk/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8080;2445:2794,Button of Nav Heading,Contact/Contact_Eror_Desk/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8080;2445:2801,Button of Nav Heading,Contact/Contact_Eror_Desk/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8080;2445:2801,Button of Nav Heading,Contact/Contact_Eror_Desk/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8080;2531:6521,Button of Nav Heading,Contact/Contact_Eror_Desk/Frame 2147224759/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6498,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8080;2531:6521,Button of Nav Heading,Contact/Contact_Eror_Desk/Frame 2147224759/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2531:6498,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,2985:8082,Heading Display,Contact/Contact_Eror_Desk/Container/Heading Display,(legacy),NAVIGATE,2448:7971,,,1500.0,EASE_OUT,,,
🔵 UI_Phase 1,2985:8082,Heading Display,Contact/Contact_Eror_Desk/Container/Heading Display,AFTER_TIMEOUT(500.0ms),NODE,2448:7971,CHANGE_TO,SMART_ANIMATE,1500.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:10608,Button,Contact/Contact_Eror_Desk/Section 1/Frame 2147224779/Contact/Submit Container/Button,(legacy),NAVIGATE,36:194,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:10608,Button,Contact/Contact_Eror_Desk/Section 1/Frame 2147224779/Contact/Submit Container/Button,ON_HOVER,NODE,36:194,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,3139:10608,Button,Contact/Contact_Eror_Desk/Section 1/Frame 2147224779/Contact/Submit Container/Button,ON_CLICK,NODE,2675:5991,NAVIGATE,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8098;2531:9826,Button of Nav Heading,Contact/Contact_Eror_Desk/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8098;2531:9826,Button of Nav Heading,Contact/Contact_Eror_Desk/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8098;2531:9827,Button of Nav Heading,Contact/Contact_Eror_Desk/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8098;2531:9827,Button of Nav Heading,Contact/Contact_Eror_Desk/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8098;2531:9828,Button of Nav Heading,Contact/Contact_Eror_Desk/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2445:2781,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8098;2531:9828,Button of Nav Heading,Contact/Contact_Eror_Desk/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2445:2781,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8098;2531:9829,Button of Nav Heading,Contact/Contact_Eror_Desk/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,(legacy),NAVIGATE,2531:6498,,,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8098;2531:9829,Button of Nav Heading,Contact/Contact_Eror_Desk/Footer Desk/Frame 5/Frame 5/Frame 92/Frame 2147224758/Button of Nav Heading,ON_HOVER,NODE,2531:6498,CHANGE_TO,SMART_ANIMATE,300.0,EASE_OUT,,,
🔵 UI_Phase 1,I2985:8098;2531:10059,Back Button,Contact/Contact_Eror_Desk/Footer Desk/Frame 1527/Back Button,(legacy),NAVIGATE,2445:2488,,,100.0,LINEAR,,,
🔵 UI_Phase 1,I2985:8098;2531:10059,Back Button,Contact/Contact_Eror_Desk/Footer Desk/Frame 1527/Back Button,ON_HOVER,NODE,2445:2488,CHANGE_TO,SMART_ANIMATE,100.0,LINEAR,,,
🔵 UI_Phase 1,I2985:8098;2531:10059,Back Button,Contact/Contact_Eror_Desk/Footer Desk/Frame 1527/Back Button,ON_CLICK,NODE,2985:8081,SCROLL_TO,SCROLL_ANIMATE,300.0,EASE_OUT,,,
